nohup: ignoring input
[run] ours-r2-opp-l08 -> /home/xuan/embodied-ai/lam_disentangle/code/config/ft_l40_ours_r2_opp_l08_5k.yaml
The following values were not passed to `accelerate launch` and had defaults used instead:
	`--num_machines` was set to a value of `1`
	`--dynamo_backend` was set to a value of `'no'`
To avoid this warning pass in values for each of the problematic parameters or run `accelerate config`.
latent_dim=40 action_part=32 env_dim=8 | action_head=True (lambda_action=1.0) | indep=False (lambda_indep=0.0) | split_kl=True (beta_a=0.003, beta_e=1e-06) | contrastive=False (supcon=0.0, temporal=0.0, tau=0.1) | causal(zero=0.1, reverse=0.0, hardneg=0.0, opposite=0.8)
Model params: 709.8M
[init_from] LAM_400k.ckpt: loaded 836/843 tensors
[init_from] shape-mismatch skipped (3): fc.weight(64, 1024)->(80, 1024), fc.bias(64,)->(80,), action_up.weight(1024, 32)->(1024, 40)
[init_from] left random-init (7): action_predictor.0.bias, action_predictor.0.weight, action_predictor.2.bias, action_predictor.2.weight, action_up.weight, fc.bias, fc.weight
Train pairs: 739,559  Val pairs: 80,509
PK sampler [task]: P=2 x K=4 (batch 8) over 107 classes
Starting training from step 0 -> 5000
step   2400 | loss 0.8553 | mse 0.0008 | kl 22.478725 | act 0.6770 | zero 0.0178 | opp 0.1384 (margin 0.014, anchors 4.2) | lr 5.65e-06
step   2450 | loss 1.1093 | mse 0.0007 | kl 25.082037 | act 0.9027 | zero 0.0149 | opp 0.1645 (margin 0.003, anchors 3.8) | lr 5.49e-06
step   2500 | loss 1.2116 | mse 0.0007 | kl 30.182898 | act 0.9977 | zero 0.0065 | opp 0.1562 (margin 0.019, anchors 4.3) | lr 5.33e-06
[val] step   2500 | loss 0.1013 | mse 0.0006 | psnr 32.27 dB
step   2550 | loss 0.5675 | mse 0.0006 | kl 16.819494 | act 0.4077 | zero 0.0171 | opp 0.1359 (margin 0.034, anchors 4.4) | lr 5.16e-06
step   2600 | loss 1.0191 | mse 0.0007 | kl 26.945204 | act 0.7884 | zero 0.0085 | opp 0.1890 (margin 0.019, anchors 3.9) | lr 5.00e-06
step   2650 | loss 0.9240 | mse 0.0007 | kl 23.786740 | act 0.7183 | zero 0.0089 | opp 0.1691 (margin 0.024, anchors 4.5) | lr 4.84e-06
step   2700 | loss 1.0198 | mse 0.0007 | kl 31.498772 | act 0.8124 | zero 0.0066 | opp 0.1434 (margin 0.006, anchors 4.1) | lr 4.67e-06
step   2750 | loss 0.8465 | mse 0.0006 | kl 19.669127 | act 0.6622 | zero 0.0111 | opp 0.1571 (margin -0.002, anchors 3.9) | lr 4.51e-06
step   2800 | loss 1.1611 | mse 0.0007 | kl 26.212288 | act 0.9529 | zero 0.0093 | opp 0.1635 (margin 0.031, anchors 4.3) | lr 4.35e-06
step   2850 | loss 1.2231 | mse 0.0008 | kl 27.983599 | act 1.0093 | zero 0.0060 | opp 0.1641 (margin -0.003, anchors 4.4) | lr 4.19e-06
step   2900 | loss 0.9954 | mse 0.0006 | kl 28.314728 | act 0.7742 | zero 0.0133 | opp 0.1717 (margin 0.036, anchors 4.3) | lr 4.02e-06
step   2950 | loss 0.9141 | mse 0.0007 | kl 25.608899 | act 0.6921 | zero 0.0109 | opp 0.1826 (margin -0.015, anchors 4.2) | lr 3.86e-06
step   3000 | loss 0.6744 | mse 0.0006 | kl 18.066283 | act 0.4981 | zero 0.0112 | opp 0.1532 (margin -0.009, anchors 4.4) | lr 3.71e-06
[val] step   3000 | loss 0.0935 | mse 0.0006 | psnr 32.39 dB
[save] checkpoint -> /home/xuan/embodied-ai/checkpoints/lam-dis/ft_l40_ours_r2_opp_l08_5k/step_0003000
step   3050 | loss 0.8279 | mse 0.0006 | kl 25.252986 | act 0.5984 | zero 0.0064 | opp 0.1945 (margin 0.025, anchors 4.0) | lr 3.55e-06
step   3100 | loss 0.7122 | mse 0.0006 | kl 22.476141 | act 0.5122 | zero 0.0122 | opp 0.1666 (margin -0.022, anchors 4.0) | lr 3.39e-06
step   3150 | loss 1.0254 | mse 0.0006 | kl 20.156649 | act 0.8113 | zero 0.0092 | opp 0.1930 (margin -0.014, anchors 3.8) | lr 3.24e-06
