[run] ours-r-zero-opposite -> /home/xuan/embodied-ai/lam_disentangle/code/config/ft_l40_ours_r_zero_opposite_5k.yaml
The following values were not passed to `accelerate launch` and had defaults used instead:
	`--num_machines` was set to a value of `1`
	`--dynamo_backend` was set to a value of `'no'`
To avoid this warning pass in values for each of the problematic parameters or run `accelerate config`.
latent_dim=40 action_part=32 env_dim=8 | action_head=True (lambda_action=1.0) | indep=False (lambda_indep=0.0) | split_kl=True (beta_a=0.003, beta_e=1e-06) | contrastive=False (supcon=0.0, temporal=0.0, tau=0.1) | causal(zero=0.1, reverse=0.0, hardneg=0.0, opposite=0.1)
Model params: 709.8M
[init_from] LAM_400k.ckpt: loaded 836/843 tensors
[init_from] shape-mismatch skipped (3): fc.weight(64, 1024)->(80, 1024), fc.bias(64,)->(80,), action_up.weight(1024, 32)->(1024, 40)
[init_from] left random-init (7): action_predictor.0.bias, action_predictor.0.weight, action_predictor.2.bias, action_predictor.2.weight, action_up.weight, fc.bias, fc.weight
Train pairs: 739,559  Val pairs: 80,509
PK sampler [task]: P=2 x K=4 (batch 8) over 107 classes
Starting training from step 0 -> 5000
[val] step   3500 | loss 0.1085 | mse 0.0006 | psnr 32.19 dB
step   3550 | loss 0.7509 | mse 0.0007 | kl 26.223216 | act 0.6587 | zero 0.0022 | opp 0.1491 (margin 0.015, anchors 3.4) | lr 2.09e-06
step   3600 | loss 0.7397 | mse 0.0007 | kl 27.933284 | act 0.6415 | zero 0.0015 | opp 0.1610 (margin -0.009, anchors 3.4) | lr 1.96e-06
step   3650 | loss 0.8836 | mse 0.0006 | kl 23.718447 | act 0.8027 | zero 0.0010 | opp 0.1133 (margin 0.039, anchors 3.8) | lr 1.83e-06
step   3700 | loss 0.5293 | mse 0.0006 | kl 21.828337 | act 0.4537 | zero 0.0013 | opp 0.1153 (margin 0.085, anchors 3.0) | lr 1.70e-06
step   3750 | loss 0.5092 | mse 0.0006 | kl 25.417246 | act 0.4182 | zero 0.0022 | opp 0.1618 (margin 0.047, anchors 3.7) | lr 1.58e-06
step   3800 | loss 0.9402 | mse 0.0007 | kl 30.121058 | act 0.8385 | zero 0.0005 | opp 0.1317 (margin -0.012, anchors 3.5) | lr 1.46e-06
step   3850 | loss 0.6409 | mse 0.0006 | kl 27.867932 | act 0.5485 | zero 0.0012 | opp 0.1065 (margin -0.141, anchors 3.3) | lr 1.35e-06
step   3900 | loss 0.6549 | mse 0.0007 | kl 23.920791 | act 0.5719 | zero 0.0017 | opp 0.1261 (margin -0.029, anchors 3.7) | lr 1.24e-06
step   3950 | loss 0.6351 | mse 0.0007 | kl 22.289148 | act 0.5510 | zero 0.0013 | opp 0.1865 (margin -0.005, anchors 3.5) | lr 1.13e-06
step   4000 | loss 0.8034 | mse 0.0006 | kl 27.338756 | act 0.7087 | zero 0.0019 | opp 0.1436 (margin 0.062, anchors 3.6) | lr 1.03e-06
[val] step   4000 | loss 0.1077 | mse 0.0006 | psnr 32.34 dB
[save] checkpoint -> /home/xuan/embodied-ai/checkpoints/lam-dis/ft_l40_ours_r_zero_opposite_5k/step_0004000
step   4050 | loss 0.8152 | mse 0.0006 | kl 27.113995 | act 0.7238 | zero 0.0009 | opp 0.1166 (margin 0.076, anchors 3.8) | lr 9.36e-07
step   4100 | loss 1.0507 | mse 0.0006 | kl 22.147057 | act 0.9736 | zero 0.0006 | opp 0.1210 (margin -0.021, anchors 3.5) | lr 8.43e-07
step   4150 | loss 0.7215 | mse 0.0006 | kl 22.344328 | act 0.6404 | zero 0.0010 | opp 0.1553 (margin 0.027, anchors 3.1) | lr 7.54e-07
step   4200 | loss 0.9886 | mse 0.0007 | kl 29.243451 | act 0.8830 | zero 0.0005 | opp 0.1970 (margin 0.005, anchors 4.0) | lr 6.70e-07
step   4250 | loss 0.5225 | mse 0.0006 | kl 22.521424 | act 0.4459 | zero 0.0003 | opp 0.1065 (margin 0.041, anchors 3.8) | lr 5.90e-07
step   4300 | loss 1.0454 | mse 0.0008 | kl 27.917778 | act 0.9436 | zero 0.0008 | opp 0.1980 (margin -0.074, anchors 3.8) | lr 5.16e-07
step   4350 | loss 0.6130 | mse 0.0007 | kl 24.798051 | act 0.5264 | zero 0.0007 | opp 0.1375 (margin 0.018, anchors 4.2) | lr 4.46e-07
step   4400 | loss 0.7514 | mse 0.0007 | kl 26.608741 | act 0.6561 | zero 0.0010 | opp 0.1735 (margin 0.004, anchors 3.8) | lr 3.81e-07
step   4450 | loss 0.7208 | mse 0.0006 | kl 26.124227 | act 0.6299 | zero 0.0003 | opp 0.1422 (margin -0.006, anchors 3.9) | lr 3.20e-07
step   4500 | loss 0.5493 | mse 0.0006 | kl 23.155408 | act 0.4655 | zero 0.0003 | opp 0.1592 (margin -0.073, anchors 3.5) | lr 2.65e-07
[val] step   4500 | loss 0.1041 | mse 0.0006 | psnr 32.45 dB
step   4550 | loss 1.6843 | mse 0.0006 | kl 26.029688 | act 1.5945 | zero 0.0005 | opp 0.1343 (margin 0.083, anchors 3.7) | lr 2.15e-07
step   4600 | loss 0.5188 | mse 0.0006 | kl 21.915312 | act 0.4438 | zero 0.0006 | opp 0.1072 (margin 0.013, anchors 3.3) | lr 1.70e-07
step   4650 | loss 0.6554 | mse 0.0007 | kl 29.108317 | act 0.5548 | zero 0.0003 | opp 0.1525 (margin 0.019, anchors 3.4) | lr 1.31e-07
step   4700 | loss 0.7334 | mse 0.0006 | kl 27.423411 | act 0.6403 | zero 0.0006 | opp 0.1268 (margin 0.072, anchors 3.6) | lr 9.61e-08
step   4750 | loss 0.7121 | mse 0.0007 | kl 30.086360 | act 0.6105 | zero 0.0003 | opp 0.1318 (margin -0.010, anchors 3.5) | lr 6.68e-08
step   4800 | loss 0.9503 | mse 0.0007 | kl 23.737796 | act 0.8664 | zero 0.0001 | opp 0.1437 (margin 0.042, anchors 3.4) | lr 4.28e-08
step   4850 | loss 0.7038 | mse 0.0006 | kl 19.910639 | act 0.6329 | zero 0.0006 | opp 0.1252 (margin 0.092, anchors 3.5) | lr 2.41e-08
step   4900 | loss 0.5539 | mse 0.0006 | kl 23.845659 | act 0.4702 | zero 0.0006 | opp 0.1384 (margin -0.022, anchors 3.5) | lr 1.07e-08
step   4950 | loss 0.5984 | mse 0.0006 | kl 20.405937 | act 0.5207 | zero 0.0006 | opp 0.1784 (margin 0.002, anchors 3.8) | lr 2.68e-09
step   5000 | loss 0.6441 | mse 0.0007 | kl 29.434497 | act 0.5448 | zero 0.0004 | opp 0.1289 (margin 0.007, anchors 3.3) | lr 0.00e+00
[val] step   5000 | loss 0.1083 | mse 0.0006 | psnr 32.45 dB
[save] checkpoint -> /home/xuan/embodied-ai/checkpoints/lam-dis/ft_l40_ours_r_zero_opposite_5k/step_0005000
Training complete.
