nohup: ignoring input
[run] cdlam-repro -> /home/xuan/embodied-ai/lam_disentangle/code/config/ft_l40_cdlam_repro_5k.yaml
The following values were not passed to `accelerate launch` and had defaults used instead:
		More than one GPU was found, enabling multi-GPU training.
		If this was unintended please pass in `--num_processes=1`.
	`--num_machines` was set to a value of `1`
	`--dynamo_backend` was set to a value of `'no'`
To avoid this warning pass in values for each of the problematic parameters or run `accelerate config`.
/home/xuan/.venv/lib/python3.10/site-packages/accelerate/utils/launch.py:236: UserWarning: Port `29500` is already in use. Accelerate will attempt to launch in a standalone-like mode by finding an open port automatically for this session. If this current attempt fails, or for more control in future runs, please specify a different port (e.g., `--main_process_port <your_chosen_port>`) or use `--main_process_port 0` for automatic selection in your launch command or Accelerate config file.
  warnings.warn(
latent_dim=40 action_part=32 env_dim=8 | action_head=True (lambda_action=1.0) | indep=False (lambda_indep=0.0) | split_kl=True (beta_a=0.003, beta_e=1e-06) | contrastive=False (supcon=0.0, temporal=0.0, tau=0.1) | causal(zero=0.1, reverse=0.0, hardneg=0.0, opposite=0.0, pctr=0.1) | recon=1.0
Model params: 709.8M
[init_from] LAM_400k.ckpt: loaded 836/853 tensors
[init_from] shape-mismatch skipped (3): fc.weight(64, 1024)->(80, 1024), fc.bias(64,)->(80,), action_up.weight(1024, 32)->(1024, 40)
[init_from] left random-init (17): action_predictor.0.bias, action_predictor.0.weight, action_predictor.2.bias, action_predictor.2.weight, action_proj.0.bias, action_proj.0.weight, action_proj.2.bias, action_proj.2.weight ...
Train pairs: 739,559  Val pairs: 80,509
PK sampler [task]: P=2 x K=4 (batch 8) over 107 classes
Starting training from step 0 -> 5000
step   3000 | loss 0.8413 | mse 0.0007 | kl 21.841553 | act 0.7302 | zero 0.0004 | pctr 0.4702 (pos 14.3, neg 6.3, tau 10.1, b -9.98) | lr 1.03e-06
[val] step   3000 | loss 0.0802 | mse 0.0008 | psnr 30.76 dB
[save] checkpoint -> /home/xuan/embodied-ai/checkpoints/lam-dis/ft_l40_cdlam_repro_5k/step_0003000
step   3050 | loss 0.6692 | mse 0.0008 | kl 27.571019 | act 0.5292 | zero 0.0005 | pctr 0.5893 (pos 16.6, neg 5.3, tau 10.1, b -9.98) | lr 1.24e-06
step   3100 | loss 0.9956 | mse 0.0007 | kl 27.196862 | act 0.8514 | zero 0.0009 | pctr 0.6434 (pos 16.0, neg 5.4, tau 10.1, b -9.98) | lr 1.46e-06
step   3150 | loss 0.6644 | mse 0.0007 | kl 21.368422 | act 0.5410 | zero 0.0006 | pctr 0.6087 (pos 18.2, neg 7.7, tau 10.1, b -9.98) | lr 1.70e-06
step   3200 | loss 0.9137 | mse 0.0008 | kl 24.880277 | act 0.7752 | zero 0.0004 | pctr 0.6541 (pos 17.0, neg 8.4, tau 10.1, b -9.98) | lr 1.96e-06
step   3250 | loss 0.7770 | mse 0.0008 | kl 25.498217 | act 0.6443 | zero 0.0008 | pctr 0.5784 (pos 15.5, neg 8.6, tau 10.1, b -9.98) | lr 2.22e-06
step   3300 | loss 0.9043 | mse 0.0009 | kl 24.237233 | act 0.7696 | zero 0.0012 | pctr 0.6352 (pos 20.5, neg 9.5, tau 10.1, b -9.98) | lr 2.50e-06
step   3350 | loss 1.2075 | mse 0.0008 | kl 31.319489 | act 1.0534 | zero 0.0003 | pctr 0.6218 (pos 16.6, neg 5.4, tau 10.1, b -9.98) | lr 2.79e-06
step   3400 | loss 0.7754 | mse 0.0008 | kl 24.861239 | act 0.6433 | zero 0.0012 | pctr 0.5931 (pos 12.2, neg 6.5, tau 10.2, b -9.98) | lr 3.09e-06
step   3450 | loss 0.7295 | mse 0.0008 | kl 26.123163 | act 0.5949 | zero 0.0023 | pctr 0.5792 (pos 16.2, neg 5.6, tau 10.2, b -9.98) | lr 3.39e-06
step   3500 | loss 0.7279 | mse 0.0007 | kl 22.346473 | act 0.6057 | zero 0.0016 | pctr 0.5689 (pos 12.5, neg 4.7, tau 10.2, b -9.98) | lr 3.71e-06
[val] step   3500 | loss 0.0780 | mse 0.0008 | psnr 30.79 dB
step   3550 | loss 0.6477 | mse 0.0008 | kl 21.771863 | act 0.5287 | zero 0.0045 | pctr 0.5486 (pos 16.5, neg 8.8, tau 10.2, b -9.98) | lr 4.02e-06
step   3600 | loss 0.8519 | mse 0.0008 | kl 27.328301 | act 0.7110 | zero 0.0044 | pctr 0.6031 (pos 13.6, neg 4.1, tau 10.2, b -9.98) | lr 4.35e-06
step   3650 | loss 0.8073 | mse 0.0008 | kl 20.428631 | act 0.6928 | zero 0.0017 | pctr 0.5477 (pos 16.4, neg 7.2, tau 10.2, b -9.98) | lr 4.67e-06
step   3700 | loss 0.7861 | mse 0.0007 | kl 29.050757 | act 0.6448 | zero 0.0016 | pctr 0.5614 (pos 14.0, neg 5.9, tau 10.2, b -9.98) | lr 5.00e-06
step   3750 | loss 1.0295 | mse 0.0008 | kl 22.195872 | act 0.9107 | zero 0.0048 | pctr 0.5363 (pos 14.6, neg 6.5, tau 10.2, b -9.98) | lr 5.33e-06
step   3800 | loss 0.6092 | mse 0.0007 | kl 21.202375 | act 0.4852 | zero 0.0031 | pctr 0.6208 (pos 20.0, neg 7.5, tau 10.2, b -9.98) | lr 5.65e-06
step   3850 | loss 0.7103 | mse 0.0007 | kl 22.907230 | act 0.5920 | zero 0.0043 | pctr 0.5121 (pos 13.2, neg 8.4, tau 10.2, b -9.98) | lr 5.98e-06
step   3900 | loss 0.7018 | mse 0.0008 | kl 22.985555 | act 0.5681 | zero 0.0025 | pctr 0.6654 (pos 16.8, neg 6.4, tau 10.2, b -9.98) | lr 6.29e-06
step   3950 | loss 0.7024 | mse 0.0007 | kl 23.847316 | act 0.5697 | zero 0.0034 | pctr 0.6293 (pos 13.8, neg 6.8, tau 10.2, b -9.98) | lr 6.61e-06
step   4000 | loss 0.8010 | mse 0.0009 | kl 31.954081 | act 0.6452 | zero 0.0044 | pctr 0.6224 (pos 14.0, neg 8.5, tau 10.2, b -9.98) | lr 6.91e-06
[val] step   4000 | loss 0.0708 | mse 0.0008 | psnr 30.72 dB
[save] checkpoint -> /home/xuan/embodied-ai/checkpoints/lam-dis/ft_l40_cdlam_repro_5k/step_0004000
step   4050 | loss 0.8547 | mse 0.0007 | kl 27.132769 | act 0.7175 | zero 0.0033 | pctr 0.5792 (pos 13.4, neg 8.6, tau 10.2, b -9.98) | lr 7.21e-06
step   4100 | loss 0.6581 | mse 0.0008 | kl 23.614892 | act 0.5326 | zero 0.0060 | pctr 0.5619 (pos 16.2, neg 6.6, tau 10.2, b -9.98) | lr 7.50e-06
step   4150 | loss 0.8722 | mse 0.0008 | kl 28.329943 | act 0.7275 | zero 0.0052 | pctr 0.6178 (pos 14.5, neg 3.4, tau 10.2, b -9.98) | lr 7.78e-06
step   4200 | loss 0.6662 | mse 0.0008 | kl 30.763993 | act 0.5154 | zero 0.0050 | pctr 0.6058 (pos 17.2, neg 8.5, tau 10.2, b -9.98) | lr 8.04e-06
step   4250 | loss 0.7527 | mse 0.0007 | kl 20.194715 | act 0.6450 | zero 0.0071 | pctr 0.4865 (pos 14.0, neg 4.7, tau 10.2, b -9.98) | lr 8.30e-06
step   4300 | loss 0.6974 | mse 0.0009 | kl 24.999631 | act 0.5698 | zero 0.0048 | pctr 0.5440 (pos 14.8, neg 5.5, tau 10.2, b -9.98) | lr 8.54e-06
step   4350 | loss 0.7327 | mse 0.0007 | kl 24.800784 | act 0.6009 | zero 0.0051 | pctr 0.5942 (pos 16.0, neg 6.0, tau 10.2, b -9.98) | lr 8.76e-06
step   4400 | loss 0.9008 | mse 0.0009 | kl 30.566913 | act 0.7586 | zero 0.0050 | pctr 0.5281 (pos 11.1, neg 5.3, tau 10.2, b -9.98) | lr 8.97e-06
step   4450 | loss 0.6396 | mse 0.0007 | kl 29.224951 | act 0.5012 | zero 0.0065 | pctr 0.5297 (pos 14.7, neg 5.1, tau 10.2, b -9.98) | lr 9.16e-06
step   4500 | loss 0.6451 | mse 0.0007 | kl 24.981335 | act 0.5169 | zero 0.0084 | pctr 0.5519 (pos 19.2, neg 3.4, tau 10.2, b -9.98) | lr 9.33e-06
[val] step   4500 | loss 0.0916 | mse 0.0008 | psnr 30.76 dB
step   4550 | loss 0.7508 | mse 0.0008 | kl 24.000498 | act 0.6213 | zero 0.0043 | pctr 0.5984 (pos 14.4, neg 6.0, tau 10.2, b -9.98) | lr 9.48e-06
step   4600 | loss 0.6942 | mse 0.0007 | kl 30.082543 | act 0.5486 | zero 0.0054 | pctr 0.5775 (pos 14.3, neg 6.0, tau 10.2, b -9.98) | lr 9.62e-06
step   4650 | loss 0.6411 | mse 0.0006 | kl 23.491571 | act 0.5194 | zero 0.0127 | pctr 0.5276 (pos 12.9, neg 6.3, tau 10.2, b -9.98) | lr 9.73e-06
step   4700 | loss 0.6989 | mse 0.0007 | kl 22.669151 | act 0.5780 | zero 0.0064 | pctr 0.5491 (pos 14.4, neg 3.8, tau 10.2, b -9.97) | lr 9.83e-06
step   4750 | loss 0.7461 | mse 0.0007 | kl 24.785417 | act 0.6199 | zero 0.0090 | pctr 0.5381 (pos 11.7, neg 6.9, tau 10.2, b -9.97) | lr 9.90e-06
step   4800 | loss 0.9597 | mse 0.0007 | kl 25.389267 | act 0.8319 | zero 0.0069 | pctr 0.5396 (pos 15.8, neg 5.8, tau 10.2, b -9.97) | lr 9.96e-06
step   4850 | loss 0.6350 | mse 0.0007 | kl 27.239826 | act 0.5014 | zero 0.0038 | pctr 0.5473 (pos 14.6, neg 8.0, tau 10.2, b -9.97) | lr 9.99e-06
step   4900 | loss 0.7137 | mse 0.0008 | kl 25.946366 | act 0.5825 | zero 0.0068 | pctr 0.5563 (pos 16.3, neg 7.5, tau 10.2, b -9.97) | lr 1.00e-05
step   4950 | loss 0.4898 | mse 0.0008 | kl 22.002123 | act 0.3698 | zero 0.0054 | pctr 0.5656 (pos 17.9, neg 8.3, tau 10.2, b -9.97) | lr 9.99e-06
step   5000 | loss 1.0367 | mse 0.0007 | kl 27.076133 | act 0.9019 | zero 0.0032 | pctr 0.5668 (pos 10.9, neg 5.4, tau 10.2, b -9.97) | lr 9.96e-06
[val] step   5000 | loss 0.0686 | mse 0.0008 | psnr 30.81 dB
[save] checkpoint -> /home/xuan/embodied-ai/checkpoints/lam-dis/ft_l40_cdlam_repro_5k/step_0005000
Training complete.
[rank0]:[W719 10:05:41.184532951 ProcessGroupNCCL.cpp:1553] Warning: WARNING: destroy_process_group() was not called before program exit, which can leak resources. For more info, please see https://pytorch.org/docs/stable/distributed.html#shutdown (function operator())
